Origin,Day Transit,Zip Code
"Origin - Coppell, TX 75019",2,18064
"Origin - Coppell, TX 75019",2,18065
"Origin - Coppell, TX 75019",2,18066
"Origin - Coppell, TX 75019",2,18067
"Origin - Coppell, TX 75019",2,18068
"Origin - Coppell, TX 75019",2,18069
"Origin - Coppell, TX 75019",2,18070
"Origin - Coppell, TX 75019",2,18071
"Origin - Coppell, TX 75019",2,18072
"Origin - Coppell, TX 75019",2,18073
"Origin - Coppell, TX 75019",2,18074
"Origin - Coppell, TX 75019",2,18075
"Origin - Coppell, TX 75019",2,18076
"Origin - Coppell, TX 75019",2,18077
"Origin - Coppell, TX 75019",2,18078
"Origin - Coppell, TX 75019",2,18079
"Origin - Coppell, TX 75019",2,18080
"Origin - Coppell, TX 75019",2,18081
"Origin - Coppell, TX 75019",2,18082
"Origin - Coppell, TX 75019",2,18083
"Origin - Coppell, TX 75019",2,18084
"Origin - Coppell, TX 75019",2,18085
"Origin - Coppell, TX 75019",2,18086
"Origin - Coppell, TX 75019",2,18087
"Origin - Coppell, TX 75019",2,18088
"Origin - Coppell, TX 75019",2,18089
"Origin - Coppell, TX 75019",2,18090
"Origin - Coppell, TX 75019",2,18091
"Origin - Coppell, TX 75019",2,18092
"Origin - Coppell, TX 75019",2,18093
"Origin - Coppell, TX 75019",2,18094
"Origin - Coppell, TX 75019",2,18095
"Origin - Coppell, TX 75019",2,18096
"Origin - Coppell, TX 75019",2,18097
"Origin - Coppell, TX 75019",2,18098
"Origin - Coppell, TX 75019",2,18099
"Origin - Coppell, TX 75019",2,18100
"Origin - Coppell, TX 75019",2,18101
"Origin - Coppell, TX 75019",2,18102
"Origin - Coppell, TX 75019",2,18103
"Origin - Coppell, TX 75019",2,18104
"Origin - Coppell, TX 75019",2,18105
"Origin - Coppell, TX 75019",2,18106
"Origin - Coppell, TX 75019",2,18107
"Origin - Coppell, TX 75019",2,18108
"Origin - Coppell, TX 75019",2,18109
"Origin - Coppell, TX 75019",2,18110
"Origin - Coppell, TX 75019",2,18111
"Origin - Coppell, TX 75019",2,18112
"Origin - Coppell, TX 75019",2,18113
"Origin - Coppell, TX 75019",2,18114
"Origin - Coppell, TX 75019",2,18115
"Origin - Coppell, TX 75019",2,18116
"Origin - Coppell, TX 75019",2,18117
"Origin - Coppell, TX 75019",2,18118
"Origin - Coppell, TX 75019",2,18119
"Origin - Coppell, TX 75019",2,18120
"Origin - Coppell, TX 75019",2,18121
"Origin - Coppell, TX 75019",2,18122
"Origin - Coppell, TX 75019",2,18123
"Origin - Coppell, TX 75019",2,18124
"Origin - Coppell, TX 75019",2,18125
"Origin - Coppell, TX 75019",2,18126
"Origin - Coppell, TX 75019",2,18127
"Origin - Coppell, TX 75019",2,18128
"Origin - Coppell, TX 75019",2,18129
"Origin - Coppell, TX 75019",2,18130
"Origin - Coppell, TX 75019",2,18131
"Origin - Coppell, TX 75019",2,18132
"Origin - Coppell, TX 75019",2,18133
"Origin - Coppell, TX 75019",2,18134
"Origin - Coppell, TX 75019",2,18135
"Origin - Coppell, TX 75019",2,18136
"Origin - Coppell, TX 75019",2,18137
"Origin - Coppell, TX 75019",2,18138
"Origin - Coppell, TX 75019",2,18139
"Origin - Coppell, TX 75019",2,18140
"Origin - Coppell, TX 75019",2,18141
"Origin - Coppell, TX 75019",2,18142
"Origin - Coppell, TX 75019",2,18143
"Origin - Coppell, TX 75019",2,18144
"Origin - Coppell, TX 75019",2,18145
"Origin - Coppell, TX 75019",2,18146
"Origin - Coppell, TX 75019",2,18147
"Origin - Coppell, TX 75019",2,18148
"Origin - Coppell, TX 75019",2,18149
"Origin - Coppell, TX 75019",2,18150
"Origin - Coppell, TX 75019",2,18151
"Origin - Coppell, TX 75019",2,18152
"Origin - Coppell, TX 75019",2,18153
"Origin - Coppell, TX 75019",2,18154
"Origin - Coppell, TX 75019",2,18155
"Origin - Coppell, TX 75019",2,18156
"Origin - Coppell, TX 75019",2,18157
"Origin - Coppell, TX 75019",2,18158
"Origin - Coppell, TX 75019",2,18159
"Origin - Coppell, TX 75019",2,18160
"Origin - Coppell, TX 75019",2,18161
"Origin - Coppell, TX 75019",2,18162
"Origin - Coppell, TX 75019",2,18163
"Origin - Coppell, TX 75019",2,18164
"Origin - Coppell, TX 75019",2,18165
"Origin - Coppell, TX 75019",2,18166
"Origin - Coppell, TX 75019",2,18167
"Origin - Coppell, TX 75019",2,18168
"Origin - Coppell, TX 75019",2,18169
"Origin - Coppell, TX 75019",2,18170
"Origin - Coppell, TX 75019",2,18171
"Origin - Coppell, TX 75019",2,18172
"Origin - Coppell, TX 75019",2,18173
"Origin - Coppell, TX 75019",2,18174
"Origin - Coppell, TX 75019",2,18175
"Origin - Coppell, TX 75019",2,18176
"Origin - Coppell, TX 75019",2,18177
"Origin - Coppell, TX 75019",2,18178
"Origin - Coppell, TX 75019",2,18179
"Origin - Coppell, TX 75019",2,18180
"Origin - Coppell, TX 75019",2,18181
"Origin - Coppell, TX 75019",2,18182
"Origin - Coppell, TX 75019",2,18183
"Origin - Coppell, TX 75019",2,18184
"Origin - Coppell, TX 75019",2,18185
"Origin - Coppell, TX 75019",2,18186
"Origin - Coppell, TX 75019",2,18187
"Origin - Coppell, TX 75019",2,18188
"Origin - Coppell, TX 75019",2,18189
"Origin - Coppell, TX 75019",2,18190
"Origin - Coppell, TX 75019",2,18191
"Origin - Coppell, TX 75019",2,18192
"Origin - Coppell, TX 75019",2,18193
"Origin - Coppell, TX 75019",2,18194
"Origin - Coppell, TX 75019",2,18195
"Origin - Coppell, TX 75019",2,18196
"Origin - Coppell, TX 75019",2,18197
"Origin - Coppell, TX 75019",2,18198
"Origin - Coppell, TX 75019",2,18199
"Origin - Coppell, TX 75019",2,18200
"Origin - Coppell, TX 75019",2,18201
"Origin - Coppell, TX 75019",2,18202
"Origin - Coppell, TX 75019",2,18203
"Origin - Coppell, TX 75019",2,18204
"Origin - Coppell, TX 75019",2,18205
"Origin - Coppell, TX 75019",2,18206
"Origin - Coppell, TX 75019",2,18207
"Origin - Coppell, TX 75019",2,18208
"Origin - Coppell, TX 75019",2,18209
"Origin - Coppell, TX 75019",2,18210
"Origin - Coppell, TX 75019",2,18211
"Origin - Coppell, TX 75019",2,18212
"Origin - Coppell, TX 75019",2,18213
"Origin - Coppell, TX 75019",2,18214
"Origin - Coppell, TX 75019",2,18215
"Origin - Coppell, TX 75019",2,18216
"Origin - Coppell, TX 75019",2,18217
"Origin - Coppell, TX 75019",2,18218
"Origin - Coppell, TX 75019",2,18219
"Origin - Coppell, TX 75019",2,18220
"Origin - Coppell, TX 75019",2,18221
"Origin - Coppell, TX 75019",2,18222
"Origin - Coppell, TX 75019",2,18223
"Origin - Coppell, TX 75019",2,18224
"Origin - Coppell, TX 75019",2,18225
"Origin - Coppell, TX 75019",2,18226
"Origin - Coppell, TX 75019",2,18227
"Origin - Coppell, TX 75019",2,18228
"Origin - Coppell, TX 75019",2,18229
"Origin - Coppell, TX 75019",2,18230
"Origin - Coppell, TX 75019",2,18231
"Origin - Coppell, TX 75019",2,18232
"Origin - Coppell, TX 75019",2,18233
"Origin - Coppell, TX 75019",2,18234
"Origin - Coppell, TX 75019",2,18235
"Origin - Coppell, TX 75019",2,18236
"Origin - Coppell, TX 75019",2,18237
"Origin - Coppell, TX 75019",2,18238
"Origin - Coppell, TX 75019",2,18239
"Origin - Coppell, TX 75019",2,18240
"Origin - Coppell, TX 75019",2,18241
"Origin - Coppell, TX 75019",2,18242
"Origin - Coppell, TX 75019",2,18243
"Origin - Coppell, TX 75019",2,18244
"Origin - Coppell, TX 75019",2,18245
"Origin - Coppell, TX 75019",2,18246
"Origin - Coppell, TX 75019",2,18247
"Origin - Coppell, TX 75019",2,18248
"Origin - Coppell, TX 75019",2,18249
"Origin - Coppell, TX 75019",2,18250
"Origin - Coppell, TX 75019",2,18251
"Origin - Coppell, TX 75019",2,18252
"Origin - Coppell, TX 75019",2,18253
"Origin - Coppell, TX 75019",2,18254
"Origin - Coppell, TX 75019",2,18255
"Origin - Coppell, TX 75019",2,18256
"Origin - Coppell, TX 75019",2,18257
"Origin - Coppell, TX 75019",2,18258
